"last_name, first_name",player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Turner, Justin",457759,454,16.5,36.8,108.2,89.5,98.6,92.7,86.3,447,187,390.0,177,39.0,26,5.7,4.2,2023
"Giménez, Andrés",665926,452,13.1,29.9,108.8,84.8,96.7,89.4,82.8,419,147,388.0,122,27.0,25,5.5,4.1,2023
"Merrifield, Whit",593160,452,14.4,37.2,106.1,85.1,94.9,88.6,81.5,407,164,385.0,110,24.3,11,2.4,1.9,2023
"Nimmo, Brandon",607043,451,12.2,33.3,112.0,91.8,101.5,94.8,90.4,445,171,405.0,216,47.9,43,9.5,6.3,2023
"Abrams, CJ",682928,451,13.5,32.2,112.5,87.4,98.8,92.6,84.0,417,158,391.0,162,35.9,31,6.9,5.0,2023
"Peña, Jeremy",665161,450,5.5,32.2,111.6,88.0,99.1,91.3,86.4,432,136,388.0,161,35.8,18,4.0,2.8,2023
"Santana, Carlos",467793,450,12.8,31.3,111.7,88.8,99.4,92.1,88.2,442,153,396.0,164,36.4,30,6.7,4.8,2023
"Gurriel Jr., Lourdes",666971,450,10.6,35.3,108.9,89.7,99.9,93.6,86.6,425,171,398.0,207,46.0,38,8.4,6.4,2023
"Carroll, Corbin",682998,450,11.0,32.4,113.8,90.0,101.0,93.6,88.4,446,158,400.0,184,40.9,34,7.6,5.3,2023
"Castellanos, Nick",592206,447,14.4,36.5,111.2,88.9,100.4,93.4,84.6,454,177,396.0,193,43.2,46,10.3,6.9,2023
"Steer, Spencer",668715,447,15.3,35.3,110.6,88.7,99.2,92.9,86.2,441,176,400.0,166,37.1,30,6.7,4.5,2023
"Soto, Juan",665742,445,6.7,28.5,115.3,93.2,104.5,98.7,89.2,463,155,415.0,246,55.3,58,13.0,8.2,2023
"Olson, Matt",621566,445,16.1,31.0,118.6,93.7,104.8,97.2,89.9,464,194,411.0,247,55.5,73,16.4,10.1,2023
"Santander, Anthony",623993,443,20.2,33.0,113.0,90.6,101.7,94.5,89.7,428,183,400.0,204,46.0,45,10.2,6.9,2023
"De La Cruz, Bryan",650559,442,11.8,41.0,111.0,89.9,100.3,93.8,86.2,428,171,400.0,188,42.5,39,8.8,6.2,2023
"Reynolds, Bryan",668804,442,10.9,36.9,112.6,90.9,101.0,94.1,87.9,436,169,405.0,209,47.3,49,11.1,7.7,2023
"Torkelson, Spencer",679529,440,17.1,33.2,112.7,91.8,102.7,95.8,88.6,440,185,400.0,223,50.9,62,14.1,9.1,2023
"Machado, Manny",592518,440,15.0,30.2,114.5,91.0,102.4,94.3,89.2,443,174,397.0,202,45.9,46,10.5,7.7,2023
"Vaughn, Andrew",683734,439,11.2,30.3,111.7,90.6,101.7,95.7,87.2,437,163,394.0,204,46.5,37,8.4,6.0,2023
"Smith, Dominic",642086,438,12.8,37.0,108.3,86.3,97.2,91.5,81.1,444,167,400.0,135,30.8,29,6.6,4.9,2023
"Tatis Jr., Fernando",665487,438,11.0,31.5,113.4,91.9,102.9,96.8,88.4,444,160,408.0,216,49.3,48,11.0,7.6,2023
"Goldschmidt, Paul",502671,435,12.8,35.6,111.7,91.3,102.4,95.8,87.0,444,174,404.0,221,50.8,52,12.0,7.6,2023
"Happ, Ian",664023,433,13.0,36.5,112.6,89.9,99.7,94.2,86.0,429,165,403.0,169,39.0,39,9.0,5.6,2023
"Díaz, Yandy",650490,433,5.7,30.5,114.5,93.4,104.3,95.1,92.9,440,149,404.0,234,54.0,41,9.5,6.8,2023
"Bellinger, Cody",641355,424,17.2,38.0,109.2,87.9,97.7,91.0,84.7,438,184,397.0,133,31.4,26,6.1,4.7,2023
"Kim, Ha-Seong",673490,424,13.6,35.8,108.5,86.2,96.6,90.6,83.8,425,164,384.0,113,26.7,18,4.2,2.9,2023
"Hernández, Teoscar",606192,421,12.3,35.2,112.6,91.3,103.0,97.4,85.4,446,173,408.0,208,49.4,58,13.8,8.6,2023
"Alonso, Pete",624413,421,18.2,32.3,115.7,89.5,102.3,95.6,84.4,466,185,410.0,169,40.1,62,14.7,9.4,2023
"Tovar, Ezequiel",678662,420,12.6,36.4,109.8,88.0,99.0,91.6,84.9,447,170,407.0,152,36.2,34,8.1,5.5,2023
"Contreras, William",661388,417,4.7,27.1,113.9,91.3,103.2,96.2,88.4,456,138,410.0,203,48.7,39,9.4,6.4,2023
"Abreu, José",547989,416,10.8,32.5,113.3,89.0,100.8,93.0,86.7,452,159,403.0,173,41.6,36,8.7,6.1,2023
"Bell, Josh",605137,416,9.3,31.3,114.0,90.1,101.6,93.4,87.7,464,157,401.0,179,43.0,42,10.1,6.8,2023
"Rosario, Amed",642708,414,7.6,33.8,110.5,88.3,99.5,92.2,87.1,408,148,379.0,163,39.4,14,3.4,2.6,2023
"Crawford, J.P.",641487,414,15.1,35.0,110.1,88.3,99.1,90.8,88.4,432,165,386.0,150,36.2,20,4.8,3.1,2023
"Swanson, Dansby",621020,413,13.0,35.1,109.1,89.3,99.8,95.1,84.0,429,167,393.0,164,39.7,45,10.9,7.1,2023
"Yelich, Christian",592885,411,3.5,30.4,113.5,91.7,103.2,96.7,89.4,439,138,396.0,206,50.1,38,9.2,6.0,2023
"Perez, Salvador",521692,411,15.6,38.0,113.1,90.1,101.4,93.8,86.8,462,188,406.0,181,44.0,36,8.8,6.2,2023
"Friedl, TJ",670770,409,16.1,31.1,107.1,86.7,96.4,88.6,87.3,419,154,386.0,113,27.6,13,3.2,2.3,2023
"Harris II, Michael",671739,408,7.6,34.3,113.9,90.9,103.6,94.9,89.2,453,155,412.0,198,48.5,41,10.0,7.6,2023
"Henderson, Gunnar",683002,404,11.4,32.9,113.8,92.0,102.7,95.3,89.9,462,169,401.0,210,52.0,46,11.4,7.4,2023
"Edman, Tommy",669242,402,7.5,27.9,111.2,89.1,99.5,92.4,88.1,424,142,391.0,156,38.8,20,5.0,3.8,2023
"Taveras, Leody",665750,401,10.2,35.2,112.2,90.1,100.6,91.9,89.2,436,164,401.0,173,43.1,29,7.2,5.2,2023
"Dubón, Mauricio",643289,400,9.5,37.0,107.0,87.0,97.0,89.2,85.8,409,154,388.0,118,29.5,18,4.5,3.7,2023
"Arozarena, Randy",668227,400,11.3,31.8,114.3,91.7,102.1,96.1,88.9,448,168,401.0,193,48.4,49,12.3,7.5,2023
"Ozuna, Marcell",542303,398,15.6,34.9,115.3,91.8,103.3,96.6,86.1,452,185,410.0,195,49.0,66,16.6,11.1,2023
"Varsho, Daulton",662139,396,20.5,33.6,112.5,87.8,99.9,92.2,84.2,446,170,398.0,143,36.1,29,7.3,5.0,2023
"Suárez, Eugenio",553993,395,18.9,37.7,111.1,90.3,100.7,94.5,84.9,434,194,400.0,170,43.0,52,13.2,7.5,2023
"García Jr., Luis",671277,395,4.6,31.9,110.0,88.3,99.2,92.9,85.1,430,139,387.0,144,36.5,23,5.8,4.8,2023
"Seager, Corey",608369,395,13.0,38.0,114.4,93.3,103.5,97.1,89.0,453,190,407.0,210,53.2,60,15.2,11.2,2023
"Adames, Willy",642715,394,18.2,35.0,109.8,87.4,99.1,93.0,81.3,430,182,400.0,144,36.5,49,12.4,7.7,2023
"Hayes, Ke'Bryan",663647,393,13.2,34.1,113.1,92.2,101.7,94.5,91.2,440,175,398.0,190,48.3,29,7.4,5.5,2023
"Suzuki, Seiya",673548,392,10.8,36.5,114.6,91.4,102.2,94.2,89.6,432,170,399.0,188,48.0,41,10.5,7.0,2023
"Naylor, Josh",647304,391,12.3,35.5,113.9,89.1,100.6,92.9,87.4,442,167,398.0,161,41.2,32,8.2,6.5,2023
"Arcia, Orlando",606115,389,5.4,30.6,109.4,88.2,99.2,92.7,85.9,427,140,409.0,160,41.1,27,6.9,5.1,2023
"Paredes, Isaac",670623,389,22.2,32.4,107.7,86.9,96.4,91.4,83.8,427,177,378.0,111,28.5,23,5.9,4.0,2023
"Báez, Javier",595879,388,9.4,28.9,113.1,88.0,100.2,92.9,84.7,434,145,396.0,153,39.7,20,5.2,3.7,2023
"Smith, Will",669257,387,15.6,37.5,110.8,89.3,99.6,92.6,86.6,417,183,391.0,161,41.6,26,6.7,4.7,2023
"Correa, Carlos",621043,386,10.6,31.1,114.2,90.4,102.5,95.0,88.3,439,160,399.0,177,45.9,37,9.6,6.4,2023
"García, Adolis",666969,386,15.7,36.0,115.1,92.1,102.9,95.9,88.3,448,192,407.0,192,49.7,62,16.1,9.8,2023
"Hays, Austin",669720,384,10.4,31.0,111.0,89.4,100.5,93.1,86.8,439,163,397.0,154,40.1,34,8.9,6.0,2023
"Candelario, Jeimer",600869,382,14.1,36.9,111.3,88.3,99.2,93.1,84.6,443,175,400.0,139,36.4,30,7.9,5.2,2023
"Brennan, Will",686823,377,9.4,35.8,106.9,85.7,96.5,90.3,83.4,406,149,384.0,110,29.2,9,2.4,2.0,2023
"Volpe, Anthony",683011,377,14.2,35.5,108.7,88.7,99.5,93.6,84.4,419,169,383.0,162,43.0,34,9.0,5.7,2023
"Estrada, Thairo",642731,377,10.8,34.5,110.5,85.9,97.9,90.6,82.6,441,155,402.0,127,33.7,18,4.8,3.4,2023
"Franco, Wander",677551,377,8.9,35.0,111.0,89.4,99.9,93.8,85.9,448,155,397.0,162,43.0,29,7.7,5.9,2023
"Straw, Myles",664702,377,9.4,32.9,106.2,86.3,95.1,87.8,86.0,385,143,380.0,88,23.3,2,0.5,0.4,2023
"Robert Jr., Luis",673357,376,16.1,38.0,113.6,89.1,101.8,94.3,84.3,450,187,404.0,159,42.3,58,15.4,9.7,2023
"Renfroe, Hunter",592669,376,15.0,29.5,113.2,88.3,100.5,92.2,87.5,430,161,390.0,146,39.1,23,6.1,4.2,2023
"Hernández, Enrique",571771,374,17.0,31.0,109.2,87.8,97.8,90.4,87.4,431,169,395.0,126,33.7,17,4.5,3.3,2023
"LeMahieu, DJ",518934,374,3.8,31.6,111.2,89.6,100.3,93.4,87.8,411,135,381.0,161,43.0,22,5.9,3.9,2023
"Profar, Jurickson",595777,374,14.8,37.7,108.8,86.5,97.2,90.0,84.9,417,164,391.0,119,31.8,15,4.0,2.9,2023
"Anderson, Tim",641313,373,2.0,32.4,109.6,87.8,99.2,92.3,85.3,429,119,429.0,147,39.4,11,2.9,2.1,2023
"Schwarber, Kyle",656941,373,19.0,34.3,115.2,92.4,103.4,96.6,89.0,483,191,407.0,182,48.8,61,16.4,8.5,2023
"Díaz, Elias",553869,372,12.7,31.2,111.7,88.1,100.0,91.6,87.5,453,157,415.0,143,38.4,23,6.2,4.4,2023
"Vierling, Matt",663837,369,9.1,32.2,113.0,89.1,100.6,91.7,88.6,448,146,415.0,157,42.8,17,4.6,3.2,2023
"Melendez, MJ",669004,367,16.9,34.6,113.2,93.2,101.4,95.8,90.1,445,196,409.0,182,49.6,42,11.4,7.0,2023
"Soler, Jorge",624585,367,17.8,36.5,114.8,91.3,103.1,96.1,86.7,468,195,411.0,176,48.0,55,15.0,9.5,2023
"Cronenworth, Jake",630105,367,15.2,35.7,108.4,87.4,97.7,91.0,83.7,414,174,391.0,122,33.2,16,4.4,3.1,2023
"Jiménez, Eloy",650391,365,5.7,26.0,113.5,90.9,103.2,95.3,90.3,434,139,406.0,171,46.8,34,9.3,7.0,2023
"Heim, Jonah",641680,364,17.3,34.3,110.3,89.2,99.2,92.2,87.3,433,182,401.0,140,38.5,29,8.0,5.8,2023
"Canha, Mark",592192,362,13.1,30.9,109.4,87.9,99.0,91.5,87.2,436,156,388.0,133,36.7,17,4.7,3.4,2023
"McMahon, Ryan",641857,360,9.7,39.4,113.2,90.8,102.0,95.2,85.5,473,176,420.0,159,44.2,41,11.4,6.5,2023
"Garcia, Maikel",672580,360,6.1,36.9,110.0,91.8,101.5,95.5,89.4,413,150,391.0,182,50.6,14,3.9,2.7,2023
"Rosario, Eddie",592696,359,14.5,35.9,110.4,88.6,98.6,93.3,83.5,443,175,401.0,127,35.4,34,9.5,6.6,2023
"Ohtani, Shohei",660271,357,13.2,35.6,118.6,94.4,105.7,99.3,89.8,493,187,422.0,193,54.2,70,19.6,11.7,2023
"McKinstry, Zach",656716,356,17.8,36.8,108.3,87.2,97.7,89.2,84.9,435,185,388.0,119,33.5,27,7.6,5.2,2023
"Raleigh, Cal",663728,356,20.3,36.5,113.7,89.5,101.0,94.4,84.3,450,192,395.0,146,41.0,45,12.6,7.9,2023
"Realmuto, J.T.",592663,356,16.7,36.2,110.6,89.8,101.3,95.0,86.0,448,181,404.0,154,43.3,40,11.2,7.4,2023
"Ruiz, Esteury",665923,355,9.9,32.4,109.5,82.7,94.0,86.8,80.2,415,131,403.0,71,20.0,9,2.5,1.8,2023
"Drury, Brandon",592273,354,11.8,35.0,112.5,89.9,101.8,94.6,86.6,441,170,398.0,164,46.3,39,11.0,7.5,2023
"India, Jonathan",663697,352,15.2,37.2,111.4,89.5,99.7,93.2,86.9,430,173,393.0,136,38.6,27,7.7,5.1,2023
"Frazier, Adam",624428,350,15.2,40.6,106.7,85.7,95.3,88.2,84.1,413,171,381.0,82,23.4,11,3.1,2.4,2023
"Burger, Jake",669394,347,12.3,33.4,118.2,91.9,105.0,97.8,89.5,461,167,402.0,172,49.6,58,16.7,10.7,2023
"Chapman, Matt",656305,346,18.5,32.4,114.3,93.4,103.5,98.1,90.3,423,182,388.0,195,56.4,59,17.1,10.2,2023
"Lowe, Josh",666139,345,14.3,36.2,113.3,89.1,100.6,91.9,87.3,455,176,411.0,137,39.7,38,11.0,7.6,2023
"Flores, Wilmer",527038,345,22.0,36.2,108.7,86.4,97.4,90.9,84.2,420,185,393.0,112,32.5,27,7.8,5.9,2023
"Rojas, Miguel",500743,344,11.0,33.4,108.7,87.3,97.5,89.7,87.1,398,152,386.0,110,32.0,10,2.9,2.4,2023
"Wade Jr., LaMonte",664774,342,17.4,33.3,111.5,88.4,99.5,92.6,84.0,474,171,399.0,136,39.8,31,9.1,6.0,2023
"Harper, Bryce",547180,342,9.1,36.8,115.7,91.8,103.8,97.1,87.3,451,163,409.0,160,46.8,52,15.2,9.5,2023
"Grichuk, Randal",545341,340,14.0,35.0,112.1,89.6,101.5,92.6,88.1,445,169,401.0,154,45.3,24,7.1,5.1,2023
"Perdomo, Geraldo",672695,339,16.4,34.8,104.9,85.7,94.6,88.2,83.9,413,157,385.0,66,19.5,3,0.9,0.6,2023
"Kepler, Max",596146,336,14.7,35.7,111.7,91.9,102.1,94.5,90.0,440,192,408.0,161,47.9,41,12.2,8.4,2023
"Muncy, Max",571970,335,21.7,33.7,111.1,91.2,101.3,96.1,84.7,435,194,399.0,156,46.6,49,14.6,8.5,2023
"Davis, J.D.",605204,334,7.8,33.5,111.3,91.1,101.4,94.6,89.1,441,150,396.0,151,45.2,32,9.6,5.9,2023
"Massey, Michael",686681,334,19.7,38.0,110.3,88.6,99.5,92.0,86.2,441,185,401.0,132,39.5,26,7.8,5.6,2023
"Stephenson, Tyler",663886,331,8.9,33.5,111.1,89.4,100.0,94.7,84.4,428,158,385.0,144,43.5,25,7.6,4.8,2023
"Nootbaar, Lars",663457,331,7.2,30.8,112.2,89.1,100.3,94.7,84.7,449,154,410.0,125,37.8,29,8.8,5.8,2023
"Jung, Josh",673962,329,15.0,41.9,110.0,91.8,101.6,94.7,88.6,444,193,401.0,156,47.4,39,11.9,7.6,2023
"Kemp, Tony",643393,329,10.0,30.7,103.0,86.7,94.7,90.4,84.2,407,151,382.0,67,20.4,4,1.2,1.0,2023
"Kirk, Alejandro",672386,329,6.3,31.9,108.3,87.6,98.5,91.1,86.0,410,146,382.0,126,38.3,17,5.2,4.0,2023
"Peralta, David",444482,328,8.2,31.1,111.5,89.3,100.8,92.8,87.2,415,151,403.0,145,44.2,16,4.9,3.8,2023
"Ramírez, Harold",623912,327,6.1,29.4,112.5,89.1,100.4,91.9,87.6,441,137,398.0,133,40.7,15,4.6,3.5,2023
"Pham, Tommy",502054,326,5.7,34.4,113.7,92.3,103.1,95.1,90.1,433,157,400.0,160,49.1,35,10.7,7.3,2023
"Mountcastle, Ryan",663624,323,12.0,35.9,114.6,91.4,102.2,95.2,88.3,472,174,416.0,145,44.9,39,12.1,8.3,2023
"Alvarez, Yordan",670541,322,17.1,35.7,117.7,93.3,104.6,96.8,88.7,452,201,406.0,168,52.2,58,18.0,11.7,2023
"Contreras, Willson",575929,320,10.1,34.1,117.5,91.3,103.9,96.4,88.5,461,155,409.0,150,46.9,39,12.2,7.9,2023
"Grisham, Trent",663757,320,18.3,31.9,112.3,90.3,100.7,95.8,85.6,424,173,399.0,128,40.0,38,11.9,6.8,2023
"Walker, Jordan",691023,318,10.2,33.6,114.3,89.4,101.9,92.8,87.8,444,163,403.0,135,42.5,24,7.5,5.2,2023
"Berti, Jon",542932,316,2.4,29.7,110.7,85.4,97.8,91.8,81.9,428,137,410.0,99,31.3,15,4.7,3.5,2023
"Rengifo, Luis",650859,316,11.0,29.7,109.1,89.1,98.9,93.0,86.8,427,158,395.0,115,36.9,24,7.6,5.4,2023
"Turang, Brice",668930,315,12.6,34.0,108.3,85.5,96.2,89.8,82.8,417,157,406.0,85,27.0,9,2.9,2.0,2023
"Mullins, Cedric",656775,310,21.6,27.7,110.5,88.9,98.8,91.7,89.3,434,171,384.0,115,37.1,20,6.5,4.4,2023
"Blackmon, Charlie",453568,308,18.1,39.0,108.5,86.4,97.6,89.9,84.4,463,175,411.0,97,31.5,15,4.9,3.6,2023
"Langeliers, Shea",669127,308,19.6,30.8,113.4,90.6,101.9,96.1,86.8,456,173,409.0,137,44.5,41,13.3,8.4,2023
"Gomes, Yan",543228,308,15.1,37.0,109.7,87.4,98.5,92.1,83.0,413,175,393.0,112,36.4,24,7.8,5.7,2023
"Andrus, Elvis",462101,306,5.5,27.8,109.4,87.5,97.9,89.0,87.5,439,129,401.0,95,31.0,8,2.6,2.0,2023
"Outman, James",681546,306,15.7,38.2,111.4,87.9,100.0,91.8,83.6,436,175,394.0,122,39.9,34,11.1,6.0,2023
"Casas, Triston",671213,305,15.7,36.1,113.2,91.1,102.6,95.2,86.0,442,185,406.0,142,46.6,40,13.1,8.0,2023
"Conforto, Michael",624424,304,11.9,31.9,109.7,88.9,100.1,93.5,85.5,429,166,394.0,121,39.8,24,7.9,5.1,2023
"Joe, Connor",656582,304,16.7,37.2,111.6,88.9,100.0,92.0,88.7,428,177,405.0,127,41.8,25,8.2,5.3,2023
"Carpenter, Kerry",681481,304,13.1,37.2,109.3,90.1,99.8,95.1,85.3,434,172,386.0,133,44.0,31,10.2,6.8,2023
"Call, Alex",669743,302,17.0,29.5,108.5,86.8,97.4,90.8,84.0,428,165,397.0,91,30.1,16,5.3,3.6,2023
"Rooker, Brent",667670,295,17.6,37.3,112.6,91.6,102.7,95.4,86.3,462,203,406.0,146,49.5,46,15.6,8.7,2023
"Solano, Donovan",456781,295,13.1,43.1,109.8,90.2,100.1,92.8,88.3,420,175,398.0,129,43.7,18,6.1,4.0,2023
"McCutchen, Andrew",457705,294,12.3,33.7,109.8,89.6,100.3,94.2,85.3,442,168,390.0,131,44.6,20,6.8,4.2,2023
"Thomas, Alek",677950,293,2.2,28.3,110.9,88.9,99.8,93.4,86.2,432,129,392.0,122,41.6,15,5.1,3.7,2023
"Martinez, J.D.",502110,292,16.9,41.1,112.1,93.4,103.5,97.3,87.7,438,205,398.0,161,55.1,50,17.1,10.4,2023
"Cooper, Garrett",643265,292,13.3,40.4,110.9,89.0,100.5,93.7,83.8,439,175,403.0,120,41.1,30,10.3,6.6,2023
"Olivares, Edward",658668,292,12.2,34.2,111.0,87.3,99.1,91.8,85.0,452,160,416.0,110,37.7,23,7.9,6.0,2023
"Altuve, Jose",514888,290,11.4,29.3,109.6,86.0,97.9,92.7,82.5,429,144,400.0,91,31.4,24,8.3,5.9,2023
"Duran, Ezequiel",677649,289,14.0,36.0,115.2,90.1,101.6,93.7,87.9,443,169,414.0,127,43.9,25,8.7,5.7,2023
"Kiermaier, Kevin",595281,289,5.6,29.4,107.8,86.7,98.0,88.7,86.3,438,131,390.0,96,33.2,10,3.5,2.5,2023
"McCormick, Chas",676801,289,14.6,38.4,109.4,88.0,98.9,92.5,82.6,435,180,389.0,112,38.8,32,11.1,7.0,2023
"Ibáñez, Andy",628451,289,12.9,32.9,109.6,89.1,99.9,92.1,88.0,427,166,402.0,124,42.9,26,9.0,6.8,2023
"Diaz, Yainer",673237,287,11.5,36.9,110.9,90.3,101.6,94.9,85.9,453,173,397.0,126,43.9,35,12.2,9.3,2023
"Ward, Taylor",621493,282,14.3,34.0,111.4,90.7,100.3,93.1,88.8,417,178,395.0,123,43.9,23,8.2,5.6,2023
"Suwinski, Jack",669261,281,22.4,34.2,114.7,90.5,102.2,93.8,86.5,461,205,413.0,122,43.4,44,15.7,8.2,2023
"Grandal, Yasmani",518735,279,10.8,32.3,110.4,87.9,98.3,91.4,85.2,428,162,398.0,96,34.4,13,4.7,3.2,2023
"Peterson, Jace",607054,278,14.4,32.7,110.1,85.7,96.5,90.5,80.7,422,165,399.0,78,28.1,13,4.7,3.0,2023
"Rizzo, Anthony",519203,277,17.8,41.2,110.6,90.0,99.2,92.3,87.8,424,186,377.0,104,37.5,19,6.9,4.5,2023
"Donovan, Brendan",680977,276,10.6,37.3,109.1,89.3,99.4,93.5,86.3,416,157,394.0,112,40.6,16,5.8,4.3,2023
"Alvarez, Francisco",682626,273,12.5,28.6,114.1,90.1,101.7,95.7,86.9,467,165,409.0,123,45.1,35,12.8,8.3,2023
"Heyward, Jason",518792,273,15.4,33.0,112.7,87.7,99.3,92.2,86.5,424,165,391.0,102,37.4,22,8.1,5.8,2023
"Murphy, Sean",669221,273,13.1,38.1,114.7,91.5,103.3,96.4,86.7,459,180,409.0,125,45.8,44,16.1,10.0,2023
"Moreno, Gabriel",672515,273,4.2,32.6,109.7,89.8,99.7,92.6,88.1,417,136,386.0,114,41.8,13,4.8,3.4,2023
"Burleson, Alec",676475,273,12.4,36.3,110.6,89.9,99.9,93.4,86.1,427,168,388.0,112,41.0,16,5.9,4.6,2023
"Pederson, Joc",592626,272,15.2,33.1,116.6,92.1,103.0,96.4,88.4,434,184,397.0,142,52.2,33,12.1,7.8,2023
"O'Hearn, Ryan",656811,268,12.0,35.1,109.7,91.9,101.5,95.9,88.3,424,170,385.0,138,51.5,27,10.1,7.3,2023
"Fraley, Jake",641584,266,16.5,38.0,111.7,84.6,97.1,88.5,82.4,419,172,384.0,82,30.8,17,6.4,4.5,2023
"Greene, Riley",682985,266,6.6,36.8,114.4,91.6,103.0,96.1,86.9,453,156,403.0,125,47.3,30,11.3,7.2,2023
"Bader, Harrison",664056,265,17.8,32.8,110.2,85.9,97.6,89.8,84.9,436,169,394.0,84,31.7,14,5.3,4.1,2023
"Moustakas, Mike",519058,265,18.0,28.3,112.9,89.0,99.3,92.5,88.0,454,177,410.0,99,37.9,15,5.7,3.9,2023
"Marsh, Brandon",669016,265,12.4,37.4,110.6,91.3,100.7,94.9,87.6,436,169,408.0,129,48.7,24,9.1,5.1,2023
"Castro, Willi",650489,264,15.1,34.5,114.2,86.5,98.7,91.4,82.9,440,166,406.0,84,31.8,18,6.8,4.4,2023
"Grossman, Robbie",543257,263,20.2,32.3,109.0,88.2,98.4,91.9,84.5,414,190,386.0,98,37.3,18,6.8,4.3,2023
"Cabrera, Miguel",408234,263,7.4,34.2,111.5,89.1,99.0,91.8,87.8,438,146,408.0,99,37.6,11,4.2,3.0,2023
"Lowe, Brandon",664040,261,16.0,32.6,110.7,91.4,101.4,95.3,88.6,433,178,401.0,124,47.5,28,10.7,6.4,2023
"Kiner-Falefa, Isiah",643396,260,7.2,33.5,109.6,88.8,99.1,90.6,88.6,404,139,376.0,102,39.2,8,3.1,2.2,2023
"Urías, Ramón",602104,260,7.9,30.4,109.5,89.2,99.1,92.0,87.7,420,139,394.0,99,38.1,18,6.9,4.5,2023
"Gorman, Nolan",669357,260,22.2,38.8,112.3,91.0,102.0,95.7,84.1,446,203,411.0,126,48.5,43,16.5,9.3,2023
"Morel, Christopher",666624,258,12.4,29.5,113.6,92.1,103.5,97.1,88.6,466,175,412.0,129,50.0,41,15.9,9.6,2023
"Tauchman, Mike",643565,255,8.1,37.6,109.4,88.4,99.3,93.0,84.7,410,155,390.0,102,40.0,14,5.5,3.5,2023
"Sánchez, Jesús",660821,255,5.6,32.9,114.8,90.4,103.2,96.0,87.1,461,145,415.0,118,46.3,31,12.2,7.7,2023
"Doyle, Brenton",686668,254,11.7,29.5,111.0,88.3,99.1,93.8,83.8,451,155,412.0,89,35.0,22,8.7,5.1,2023
"Díaz, Aledmys",649557,254,11.3,27.6,110.0,87.8,98.0,90.5,87.7,400,144,375.0,85,33.5,7,2.8,2.0,2023
"Wiemer, Joey",686894,253,10.5,28.9,112.8,89.3,99.7,93.6,86.6,432,160,401.0,99,39.1,23,9.1,5.6,2023
"DeJong, Paul",657557,253,16.8,34.8,107.6,85.5,97.7,91.1,80.5,433,168,401.0,84,33.2,17,6.7,4.3,2023
"Farmer, Kyle",571657,252,13.2,36.1,105.5,86.4,97.4,92.2,80.9,435,162,402.0,83,32.9,17,6.7,4.6,2023
"McLain, Matt",680574,250,13.8,39.6,109.9,89.3,100.2,94.4,83.9,428,182,396.0,106,42.4,27,10.8,6.7,2023
"Sheets, Gavin",657757,249,16.9,29.7,109.5,88.1,98.4,92.1,86.7,423,171,396.0,81,32.5,13,5.2,3.8,2023
"Stanton, Giancarlo",519317,248,12.5,27.4,119.5,93.3,106.1,97.7,91.2,485,167,416.0,120,48.4,39,15.7,9.4,2023
"Marte, Starling",516782,248,6.3,30.6,110.9,88.2,100.1,92.7,84.5,423,145,413.0,98,39.5,14,5.6,4.1,2023
"Laureano, Ramón",657656,248,12.9,34.7,112.7,88.2,98.9,90.6,86.7,440,158,409.0,89,35.9,24,9.7,5.9,2023
"Vázquez, Christian",543877,247,10.0,36.0,106.6,86.7,96.9,91.0,82.9,412,158,383.0,81,32.8,8,3.2,2.3,2023
"Bae, Ji Hwan",678225,247,1.1,24.3,110.2,88.1,98.9,92.6,85.8,403,112,381.0,91,36.8,5,2.0,1.3,2023
"Baty, Brett",683146,246,6.6,32.9,113.7,89.5,101.6,94.8,85.9,440,147,413.0,109,44.3,19,7.7,4.9,2023
"De La Cruz, Elly",682829,246,3.6,30.5,119.2,91.2,102.8,95.2,88.3,467,136,420.0,113,45.9,21,8.5,4.9,2023
"Brown, Seth",664913,245,16.4,32.7,113.3,90.5,101.6,94.9,86.7,437,189,397.0,114,46.5,30,12.2,7.9,2023
"Mateo, Jorge",622761,244,10.4,28.3,112.4,88.4,100.4,92.3,85.7,433,152,404.0,94,38.5,13,5.3,3.7,2023
"Duran, Jarren",680776,244,10.7,32.0,112.6,89.9,102.1,93.6,87.1,434,162,391.0,113,46.3,13,5.3,3.6,2023
"Kelenic, Jarred",672284,242,10.1,38.8,112.0,90.9,101.5,94.6,86.5,482,169,406.0,110,45.5,23,9.5,5.5,2023
"Jones, Nolan",666134,242,9.8,34.7,115.3,90.1,102.4,95.3,84.3,483,178,417.0,100,41.3,38,15.7,9.0,2023
"Wong, Connor",657136,241,15.5,34.0,113.6,89.1,100.1,94.1,85.8,427,162,389.0,91,37.8,22,9.1,5.5,2023
"Judge, Aaron",592450,240,20.4,37.1,116.9,97.6,107.4,101.2,92.6,464,225,408.0,154,64.2,66,27.5,14.4,2023
"Rojas, Josh",668942,239,13.0,35.6,105.7,87.1,96.7,88.8,85.7,403,166,379.0,69,28.9,9,3.8,2.6,2023
"Noda, Ryan",676116,238,16.0,38.2,113.9,91.2,102.1,94.9,87.5,427,187,394.0,107,45.0,31,13.0,6.3,2023
